Número de Vértices: 20
Número de Clusters: 5
Limite superior: 106.704002
Pesos - Vértices
0 - 6.064208    1 - 39.051830   2 - 24.423210   3 - 38.859978
4 - 29.003424   5 - 21.497099   6 - 14.040519   7 - 18.242239
8 - 26.215324   9 - 24.842295   10 - 36.347462  11 - 14.331416
12 - 32.572945  13 - 29.687092  14 - 10.502677  15 - 41.557404
16 - 10.712155  17 - 10.339777  18 - 10.336858  19 - 38.824322
    0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19
0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0  138  0   0 
1   0   0   0   0   0   0   68  0   0   0   0   0   0   0   0   0   0   0   0   0
2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
3   0   0   0   0   0   0   0   0  33   0   0   0   0   0   0   0   0   0   0   0
4   0   0   0   0   0   0   0   0   0   0   0   0   81  0  192  0   0   0   144 0
5   0   0   0   0   0   0   0  54   0   0   0  191  0   0   0   0   0   0   0  157 
6   0   68  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
7   0   0   0   0   0  54   0   0   0   63  0  116  0   0   0   0  145  0   0   13 
8   0   0   0   33  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
9   0   0   0   0   0   0   0   63  0   0   0   0   0   0   0   0  175  0   0   0
10  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
11  0   0   0   0   0  191  0   116 0   0   0   0   0   0   0   0   0   0   0  150
12  0   0   0   0  81   0   0   0   0   0   0   0   0   0  134  0   0   0   0   0 
13  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   87  0
14  0   0   0   0   192 0   0   0   0   0   0   0  134  0   0   0   0   0   115 0 
15  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16  0   0   0   0   0   0   0   145 0 175   0   0   0   0   0   0   0   0   0   0 
17  138 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
18  0   0   0   0  144  0   0   0   0   0   0   0   0   87 115  0   0   0   0   0
19  0   0   0   0   0  157  0   13  0   0   0  150  0   0   0   0   0   0   0   0 
